state,expenditure,year,raw,inf_adj,inf_adj_perchild
Arizona,SNAP,1997,180363.0625,257169.09375,0.197318613529205
Arkansas,SNAP,1997,101938.0390625,145347.46875,0.202318832278252
California,SNAP,1997,1477317.375,2106420,0.220366179943085
Colorado,SNAP,1997,93925.3984375,133922.703125,0.123439371585846
Connecticut,SNAP,1997,86500.6796875,123336.234375,0.144296780228615
Delaware,SNAP,1997,22563.572265625,32172.072265625,0.163392126560211
District of Columbia,SNAP,1997,47987.234375,68422.1796875,0.538494408130646
Florida,SNAP,1997,519976.59375,741404.0625,0.201398223638535
Georgia,SNAP,1997,310446.90625,442648,0.206387236714363
Hawaii,SNAP,1997,91215.9609375,130059.4765625,0.400920689105988
Idaho,SNAP,1997,27309.61328125,38939.171875,0.102475009858608
Illinois,SNAP,1997,480673.4375,685364,0.202115088701248
Indiana,SNAP,1997,135642.546875,193404.734375,0.118771329522133
Iowa,SNAP,1997,60053.359375,85626.5546875,0.110485166311264
Kansas,SNAP,1997,55899.55078125,79703.8828125,0.107268005609512
